"Cell","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland"
"15 Nuclear fuel production : All Non-Office Workers - Females",0,14,1,1,2,4,2,2,0,1,-
"16 Production/distribution: forms of energy : All Office Workers - Males",319,810,599,529,484,554,920,980,660,359,-
"16 Production/distribution: forms of energy : All Non-Office Workers - Males",738,1701,1610,1146,1318,1223,1635,1922,1181,948,-
"16 Production/distribution: forms of energy : All Office Workers - Females",248,506,331,272,380,291,762,599,321,255,-
"16 Production/distribution: forms of energy : All Non-Office Workers - Females",86,214,143,82,127,95,193,168,124,82,-
"17 Water supply industry : All Office Workers - Males",74,190,146,128,202,152,123,285,181,123,-
"17 Water supply industry : All Non-Office Workers - Males",184,467,409,346,375,392,356,603,379,298,-
"17 Water supply industry : All Office Workers - Females",41,97,96,77,127,93,66,147,99,50,-
"17 Water supply industry : All Non-Office Workers - Females",11,22,26,19,27,27,13,32,20,12,-
"21 Extraction/preparation: metalliferous ore : All Office Workers - Males",3,2,1,0,4,1,7,4,13,3,-
"21 Extraction/preparation: metalliferous ore : All Non-Office Workers - Males",6,8,11,6,7,0,5,7,133,10,-
"21 Extraction/preparation: metalliferous ore : All Office Workers - Females",2,1,1,0,3,1,6,3,3,0,-
"21 Extraction/preparation: metalliferous ore : All Non-Office Workers - Females",1,1,0,0,0,0,1,0,1,0,-
"22 Metal manufacturing : All Office Workers - Males",291,319,910,259,876,95,151,179,84,580,-
"22 Metal manufacturing : All Non-Office Workers - Males",1918,1604,4536,1158,4100,345,482,533,386,3151,-
"22 Metal manufacturing : All Office Workers - Females",96,141,426,102,456,75,132,97,42,161,-
"22 Metal manufacturing : All Non-Office Workers - Females",89,156,317,81,534,51,107,95,55,152,-
"23 Extraction of minerals (other) : All Office Workers - Males",14,37,38,91,28,46,6,40,152,36,-
"23 Extraction of minerals (other) : All Non-Office Workers - Males",177,222,196,453,161,176,24,159,939,221,-
"23 Extraction of minerals (other) : All Office Workers - Females",11,29,20,56,15,27,2,24,66,13,-
"23 Extraction of minerals (other) : All Non-Office Workers - Females",5,13,4,13,10,6,1,7,21,11,-
"24 Manufacture: non-metalic products : All Office Workers - Males",92,478,345,294,624,272,158,379,147,115,-
"24 Manufacture: non-metalic products : All Non-Office Workers - Males",652,1999,1670,1294,2807,1288,491,1382,629,532,-
"24 Manufacture: non-metalic products : All Office Workers - Females",71,295,193,176,428,185,173,238,93,66,-
"24 Manufacture: non-metalic products : All Non-Office Workers - Females",118,290,240,237,1692,156,113,163,164,65,-
"25 Chemical Industry : All Office Workers - Males",531,1607,562,397,281,746,800,1190,240,247,-
"25 Chemical Industry : All Non-Office Workers - Males",2292,5558,1931,1161,846,1517,1519,2025,769,1026,-
"25 Chemical Industry : All Office Workers - Females",262,890,316,375,209,542,966,844,176,135,-
"25 Chemical Industry : All Non-Office Workers - Females",374,1278,558,556,215,533,630,1074,292,202,-
"26 Production of man-made fibres : All Office Workers - Males",28,28,84,35,42,2,15,7,9,31,-
"26 Production of man-made fibres : All Non-Office Workers - Males",124,159,344,212,122,3,4,6,135,270,-
"26 Production of man-made fibres : All Office Workers - Females",4,7,24,18,35,0,7,3,1,4,-
"26 Production of man-made fibres : All Non-Office Workers - Females",3,37,27,28,33,1,0,1,6,34,-
"31 Manufacture of metal goods (other) : All Office Workers - Males",108,532,507,404,1747,422,374,599,272,210,-
"31 Manufacture of metal goods (other) : All Non-Office Workers - Males",630,2560,2549,2338,7641,1818,1710,1972,1114,1030,-
"31 Manufacture of metal goods (other) : All Office Workers - Females",55,328,302,226,1154,248,327,374,150,95,-
"31 Manufacture of metal goods (other) : All Non-Office Workers - Females",122,636,656,378,2372,243,426,393,195,190,-
"32 Mechanical Engineering : All Office Workers - Males",989,2198,1952,1963,2666,1930,1460,2712,1448,437,-
"32 Mechanical Engineering : All Non-Office Workers - Males",3458,6777,6814,5623,7953,5604,3398,5877,4144,1784,-
"32 Mechanical Engineering : All Office Workers - Females",372,1039,848,777,1245,788,938,1271,630,214,-
"32 Mechanical Engineering : All Non-Office Workers - Females",298,807,625,462,929,480,408,672,396,226,-
"33 Manufacture: office machinery/DP equipment : All Office Workers - Males",31,327,50,103,174,464,447,881,113,58,-
"33 Manufacture: office machinery/DP equipment : All Non-Office Workers - Males",50,318,97,155,165,450,360,490,131,74,-
"33 Manufacture: office machinery/DP equipment : All Office Workers - Females",10,107,20,33,72,208,237,352,53,30,-
"33 Manufacture: office machinery/DP equipment : All Non-Office Workers - Females",6,99,11,33,47,133,93,124,26,59,-
"34 Electrical/electronic engineering : All Office Workers - Males",523,1552,452,1042,1561,2247,2076,3366,973,360,-
"34 Electrical/electronic engineering : All Non-Office Workers - Males",1806,4073,1256,1717,3630,2763,3400,4142,1508,1300,-
"34 Electrical/electronic engineering : All Office Workers - Females",250,773,207,345,745,918,1349,1538,420,162,-
"34 Electrical/electronic engineering : All Non-Office Workers - Females",1062,1824,462,626,2347,1863,1715,2061,708,819,-
"35 Manufacture: motor vehicles/parts thereof : All Office Workers - Males",90,752,212,248,1494,1003,396,651,177,240,-
"35 Manufacture: motor vehicles/parts thereof : All Non-Office Workers - Males",427,4440,913,940,7465,2862,2337,2607,825,1597,-
"35 Manufacture: motor vehicles/parts thereof : All Office Workers - Females",38,313,109,131,584,297,109,218,54,89,-
"35 Manufacture: motor vehicles/parts thereof : All Non-Office Workers - Females",36,354,149,153,724,254,156,257,36,244,-
"36 Manufacture of other transport equipment : All Office Workers - Males",272,1227,277,882,527,906,234,957,1651,110,-
"36 Manufacture of other transport equipment : All Non-Office Workers - Males",2342,3650,1259,2383,1503,1378,555,3156,3567,411,-
"36 Manufacture of other transport equipment : All Office Workers - Females",82,399,83,298,216,314,128,369,436,52,-
"36 Manufacture of other transport equipment : All Non-Office Workers - Females",60,245,68,254,185,168,59,182,171,41,-
"37 Instrument engineering : All Office Workers - Males",39,149,112,83,142,532,331,632,390,67,-
"37 Instrument engineering : All Non-Office Workers - Males",102,381,315,223,356,808,776,940,777,186,-
"37 Instrument engineering : All Office Workers - Females",26,139,65,52,104,282,269,338,169,42,-
"37 Instrument engineering : All Non-Office Workers - Females",80,142,139,123,201,318,271,443,321,102,-
"41 Food, drink/tobacco manufacturing : All Office Workers - Males",215,974,719,598,670,865,719,1000,682,165,-
"41 Food, drink/tobacco manufacturing : All Non-Office Workers - Males",1378,5365,3646,2726,2757,3484,3263,2780,3123,1109,-
"41 Food, drink/tobacco manufacturing : All Office Workers - Females",222,791,658,488,616,662,895,753,635,175,-
"41 Food, drink/tobacco manufacturing : All Non-Office Workers - Females",979,3620,3144,1667,1446,1873,1541,1363,1613,689,-
"43 Textile industry : All Office Workers - Males",56,556,594,668,153,68,137,99,67,42,-
"43 Textile industry : All Non-Office Workers - Males",250,2909,2917,2528,643,188,235,258,303,254,-
"43 Textile industry : All Office Workers - Females",45,480,435,584,102,45,123,84,49,38,-
"43 Textile industry : All Non-Office Workers - Females",197,1979,1984,4444,584,158,143,125,198,138,-
"44 Manufacture of leather/leather goods : All Office Workers - Males",6,37,26,43,38,23,39,24,24,2,-
"44 Manufacture of leather/leather goods : All Non-Office Workers - Males",16,200,161,185,141,96,148,81,147,23,-
"44 Manufacture of leather/leather goods : All Office Workers - Females",3,39,11,33,31,20,33,23,20,2,-
"44 Manufacture of leather/leather goods : All Non-Office Workers - Females",29,185,45,115,258,75,102,69,60,24,-
"45 Footwear/clothing industries : All Office Workers - Males",63,406,204,330,124,215,563,158,114,56,-
"45 Footwear/clothing industries : All Non-Office Workers - Males",206,1371,635,1218,324,526,1838,277,600,185,-
"45 Footwear/clothing industries : All Office Workers - Females",87,475,306,336,155,217,434,137,162,72,-
"45 Footwear/clothing industries : All Non-Office Workers - Females",1370,4329,2537,3193,1343,1525,2467,876,1108,990,-
"46 Timber/wooden furniture industries : All Office Workers - Males",82,329,314,177,211,401,320,445,228,80,-
"46 Timber/wooden furniture industries : All Non-Office Workers - Males",599,2209,1881,1222,1172,2043,1991,2643,1633,776,-
"46 Timber/wooden furniture industries : All Office Workers - Females",59,217,186,141,162,243,269,328,149,80,-
"46 Timber/wooden furniture industries : All Non-Office Workers - Females",104,302,270,219,174,298,229,297,203,131,-
"47 Manufacture of paper/paper products etc. : All Office Workers - Males",231,1104,533,554,573,1420,2184,1939,643,191,-
"47 Manufacture of paper/paper products etc. : All Non-Office Workers - Males",712,3923,1630,1608,1429,3224,4129,4096,1868,671,-
"47 Manufacture of paper/paper products etc. : All Office Workers - Females",190,775,491,483,486,1051,2194,1483,480,150,-
"47 Manufacture of paper/paper products etc. : All Non-Office Workers - Females",394,1262,745,538,669,1085,1145,1148,574,250,-
"48 Processing of rubber/plastics : All Office Workers - Males",115,481,176,269,590,311,237,469,247,88,-
"48 Processing of rubber/plastics : All Non-Office Workers - Males",624,1844,635,976,2241,981,664,1197,1057,460,-
"48 Processing of rubber/plastics : All Office Workers - Females",62,256,102,147,322,174,211,277,140,82,-
"48 Processing of rubber/plastics : All Non-Office Workers - Females",127,544,197,384,701,511,342,575,293,205,-
"49 Other manufacturing industries : All Office Workers - Males",20,111,89,67,129,171,305,242,65,93,-
"49 Other manufacturing industries : All Non-Office Workers - Males",98,334,401,233,437,396,838,505,186,250,-
"49 Other manufacturing industries : All Office Workers - Females",33,99,97,62,181,173,282,195,65,60,-
"49 Other manufacturing industries : All Non-Office Workers - Females",74,223,279,187,401,385,490,427,209,273,-
"50 Construction : All Office Workers - Males",972,2451,1607,1278,1837,2273,2801,3727,1449,896,-
"50 Construction : All Non-Office Workers - Males",6164,15193,10464,8550,10393,11963,15520,16520,10566,6602,-
"50 Construction : All Office Workers - Females",453,1186,820,644,955,1004,1741,1537,720,388,-
"50 Construction : All Non-Office Workers - Females",131,262,181,148,216,175,285,299,157,77,-
"61 Wholesale distribution (not scrap/waste) : All Office Workers - Males",319,1404,866,847,1070,1349,2176,2246,930,334,-
"61 Wholesale distribution (not scrap/waste) : All Non-Office Workers - Males",1588,5447,3816,3248,4086,4483,5235,5861,4016,1791,-
"61 Wholesale distribution (not scrap/waste) : All Office Workers - Females",512,1902,1257,1020,1563,1528,2845,2461,1244,541,-
"61 Wholesale distribution (not scrap/waste) : All Non-Office Workers - Females",361,1240,971,764,910,829,1122,1141,758,329,-
"62 Dealing in scrap/waste materials : All Office Workers - Males",2,27,34,7,18,21,37,18,8,12,-
"62 Dealing in scrap/waste materials : All Non-Office Workers - Males",107,292,289,161,267,168,215,204,137,156,-
"62 Dealing in scrap/waste materials : All Office Workers - Females",8,38,33,22,37,18,31,35,12,9,-
"62 Dealing in scrap/waste materials : All Non-Office Workers - Females",7,11,40,16,16,13,21,13,5,3,-
"63 Commission agents : All Office Workers - Males",11,132,62,71,69,173,665,325,38,22,-
"63 Commission agents : All Non-Office Workers - Males",33,179,146,115,132,209,652,316,118,36,-
"63 Commission agents : All Office Workers - Females",20,119,61,51,90,142,589,261,45,5,-
"63 Commission agents : All Non-Office Workers - Females",8,38,18,20,17,36,126,47,14,6,-
"64 Retail distribution : All Office Workers - Males",244,919,643,551,560,764,1255,1186,456,187,-
"64 Retail distribution : All Non-Office Workers - Males",3108,10451,7024,6132,7623,7929,12878,12199,6925,3672,-
"64 Retail distribution : All Office Workers - Females",1000,2923,1834,1273,1670,1849,3309,2775,1450,646,-
"64 Retail distribution : All Non-Office Workers - Females",6022,15304,10629,7648,10281,9476,11988,14766,9165,5794,-
"66 Hotels/catering : All Office Workers - Males",25,66,49,61,62,108,370,192,118,55,-
"66 Hotels/catering : All Non-Office Workers - Males",944,3169,2050,1511,1974,2175,5460,3727,2858,1397,-
"66 Hotels/catering : All Office Workers - Females",131,390,271,229,337,332,845,609,394,171,-
"66 Hotels/catering : All Non-Office Workers - Females",3312,7900,6119,4158,5751,4609,5406,7466,5438,3252,-
"67 Repair of consumer goods/vehicles : All Office Workers - Males",83,408,358,257,326,447,402,656,377,128,-
"67 Repair of consumer goods/vehicles : All Non-Office Workers - Males",809,2927,2328,1810,2214,2626,2693,3511,2593,1238,-
"67 Repair of consumer goods/vehicles : All Office Workers - Females",87,318,286,220,281,379,293,455,273,125,-
"67 Repair of consumer goods/vehicles : All Non-Office Workers - Females",51,161,149,138,161,130,167,161,132,74,-
"71 Railways : All Office Workers - Males",136,413,363,260,152,330,527,589,172,145,-
"71 Railways : All Non-Office Workers - Males",628,1670,1426,925,789,1030,1991,1749,804,872,-
"71 Railways : All Office Workers - Females",48,82,77,64,49,80,145,103,32,29,-
"71 Railways : All Non-Office Workers - Females",15,74,48,26,25,36,163,54,21,20,-
"72 Other unland transport : All Office Workers - Males",169,603,367,329,371,468,962,629,294,160,-
"72 Other unland transport : All Non-Office Workers - Males",2046,5445,3685,2614,3124,3137,6589,3931,2494,1736,-
"72 Other unland transport : All Office Workers - Females",179,473,305,286,310,288,457,418,213,140,-
"72 Other unland transport : All Non-Office Workers - Females",166,258,237,153,181,138,389,223,127,88,-
"74 Sea transport : All Office Workers - Males",30,165,33,6,12,180,252,266,35,46,-
"74 Sea transport : All Non-Office Workers - Males",378,656,372,96,91,425,172,1056,447,301,-
"74 Sea transport : All Office Workers - Females",11,78,9,2,10,123,189,136,8,9,-
"74 Sea transport : All Non-Office Workers - Females",12,32,7,7,2,23,16,97,14,10,-
"75 Air transport : All Office Workers - Males",15,59,8,18,14,73,523,503,16,10,-
"75 Air transport : All Non-Office Workers - Males",40,172,28,63,62,217,1041,1706,90,44,-
"75 Air transport : All Office Workers - Females",7,28,1,17,11,64,519,369,17,7,-
"75 Air transport : All Non-Office Workers - Females",13,73,15,29,21,58,312,332,28,6,-
"76 Supporting services to transport : All Office Workers - Males",46,241,103,27,15,169,319,399,90,73,-
"76 Supporting services to transport : All Non-Office Workers - Males",311,1094,547,119,115,583,679,1105,392,448,-
"76 Supporting services to transport : All Office Workers - Females",33,65,38,17,16,66,173,147,42,25,-
"76 Supporting services to transport : All Non-Office Workers - Females",18,35,20,17,9,47,69,68,15,24,-
"77 Miscellaneous transport services/storage : All Office Workers - Males",77,510,254,138,183,587,1171,740,182,79,-
"77 Miscellaneous transport services/storage : All Non-Office Workers - Males",155,727,484,357,357,549,1015,741,249,109,-
"77 Miscellaneous transport services/storage : All Office Workers - Females",123,589,306,167,310,552,1337,736,192,95,-
"77 Miscellaneous transport services/storage : All Non-Office Workers - Females",29,141,147,94,139,140,174,208,58,39,-
"79 Postal services/telecommunications : All Office Workers - Males",186,648,427,370,494,846,2274,1120,567,293,-
"79 Postal services/telecommunications : All Non-Office Workers - Males",724,2719,1562,1172,1977,2353,5855,3251,1896,1066,-
"79 Postal services/telecommunications : All Office Workers - Females",276,972,559,554,744,784,1967,1193,720,466,-
"79 Postal services/telecommunications : All Non-Office Workers - Females",132,301,329,246,349,286,480,314,251,116,-
"81 Banking/finance : All Office Workers - Males",509,1789,1093,818,1062,2342,4642,3198,1279,550,-
"81 Banking/finance : All Non-Office Workers - Males",38,191,158,105,86,170,598,279,117,62,-
"81 Banking/finance : All Office Workers - Females",945,2655,1815,1396,1776,2734,5996,3474,1828,839,-
"81 Banking/finance : All Non-Office Workers - Females",85,237,163,101,176,100,388,161,133,68,-
"82 Insurance, not compulsory social security : All Office Workers - Males",123,678,299,237,380,1083,1681,1712,659,174,-
"82 Insurance, not compulsory social security : All Non-Office Workers - Males",237,848,536,395,506,678,922,957,590,308,-
"82 Insurance, not compulsory social security : All Office Workers - Females",214,1096,551,339,683,1341,1957,1690,862,226,-
"82 Insurance, not compulsory social security : All Non-Office Workers - Females",78,191,99,63,107,107,199,178,79,51,-
"83 Business services : All Office Workers - Males",938,3516,2127,1639,2616,4320,9552,7371,2449,950,-
"83 Business services : All Non-Office Workers - Males",373,1354,825,632,1035,1171,3049,2146,728,369,-
"83 Business services : All Office Workers - Females",921,3418,2135,1682,2749,3753,8989,5802,2489,1015,-
"83 Business services : All Non-Office Workers - Females",143,431,283,222,345,346,1055,610,271,106,-
"84 Renting of movables : All Office Workers - Males",51,175,131,88,114,152,278,286,134,65,-
"84 Renting of movables : All Non-Office Workers - Males",223,432,321,209,327,299,525,471,300,213,-
"84 Renting of movables : All Office Workers - Females",82,223,120,86,162,177,339,246,128,81,-
"84 Renting of movables : All Non-Office Workers - Females",43,92,56,29,45,39,86,82,41,19,-
"85 Owning/dealing in real estate : All Office Workers - Males",91,262,163,114,211,177,512,309,132,64,-
"85 Owning/dealing in real estate : All Non-Office Workers - Males",169,451,186,158,352,223,671,338,250,129,-
"85 Owning/dealing in real estate : All Office Workers - Females",86,217,135,89,233,148,522,238,109,59,-
"85 Owning/dealing in real estate : All Non-Office Workers - Females",74,159,113,75,100,72,235,184,99,25,-
"91 Public administrative, national defence, etc : All Office Workers - Males",1799,3570,2393,1751,2099,2960,6241,6371,3559,2005,-
"91 Public administrative, national defence, etc : All Non-Office Workers - Males",2413,5247,4679,3924,4014,5068,6811,12386,8430,3081,-
"91 Public administrative, national defence, etc : All Office Workers - Females",2804,5248,2953,2321,3127,3345,7471,5994,3228,2741,-
"91 Public administrative, national defence, etc : All Non-Office Workers - Females",1043,2202,1599,1102,1671,1262,2805,2653,1493,1019,-
"92 Sanitary services : All Office Workers - Males",48,138,89,70,122,153,233,189,68,47,-
"92 Sanitary services : All Non-Office Workers - Males",558,1649,1125,832,938,1099,1927,1449,795,527,-
"92 Sanitary services : All Office Workers - Females",29,109,65,51,109,99,167,145,61,32,-
"92 Sanitary services : All Non-Office Workers - Females",328,711,552,386,659,512,736,871,464,278,-
"93 Education : All Office Workers - Males",147,393,286,216,237,357,542,595,255,166,-
"93 Education : All Non-Office Workers - Males",2186,5637,4217,3267,4081,4142,5247,6272,3626,2404,-
"93 Education : All Office Workers - Females",496,1334,959,785,996,1132,1755,1900,838,475,-
"93 Education : All Non-Office Workers - Females",4191,10822,7575,5044,7899,7194,10545,10785,5900,4157,-
"94 Research/development : All Office Workers - Males",87,302,66,105,144,404,201,743,267,65,-
"94 Research/development : All Non-Office Workers - Males",83,528,114,161,216,680,336,1178,422,144,-
"94 Research/development : All Office Workers - Females",30,145,39,58,113,260,206,519,122,32,-
"94 Research/development : All Non-Office Workers - Females",12,85,34,42,58,281,193,304,88,23,-
"95 Medical/other health, veterinary services : All Office Workers - Males",100,266,163,126,193,170,406,394,178,135,-
"95 Medical/other health, veterinary services : All Non-Office Workers - Males",1168,3200,2173,1572,2033,2083,3933,3634,2056,1366,-
"95 Medical/other health, veterinary services : All Office Workers - Females",658,2020,1240,930,1356,1301,2499,2371,1206,667,-
"95 Medical/other health, veterinary services : All Non-Office Workers - Females",3649,10222,7138,4962,6935,6311,10730,10468,6229,4400,-
"96 Other services to the general public : All Office Workers - Males",76,266,171,107,161,278,917,551,152,107,-
"96 Other services to the general public : All Non-Office Workers - Males",561,1441,876,656,806,784,1828,1414,882,553,-
"96 Other services to the general public : All Office Workers - Females",230,689,412,317,521,534,2118,1034,419,210,-
"96 Other services to the general public : All Non-Office Workers - Females",2067,5282,3636,2356,3265,3196,5227,4880,3108,1762,-
"97 Recreational/other cultural services : All Office Workers - Males",110,388,257,154,277,377,1446,741,227,173,-
"97 Recreational/other cultural services : All Non-Office Workers - Males",785,2287,1493,892,1413,1547,4456,2461,1177,791,-
"97 Recreational/other cultural services : All Office Workers - Females",481,1553,818,496,735,776,2325,1230,614,429,-
"97 Recreational/other cultural services : All Non-Office Workers - Females",583,1256,862,536,807,656,1917,1083,637,445,-
"98 Personal services : All Office Workers - Males",21,91,65,49,60,89,172,148,61,25,-
"98 Personal services : All Non-Office Workers - Males",217,844,538,360,502,591,1239,905,491,264,-
"98 Personal services : All Office Workers - Females",62,188,165,109,166,136,343,310,158,60,-
"98 Personal services : All Non-Office Workers - Females",781,2041,1559,1160,1437,1434,1914,2231,1330,678,-
